1;2011LS;9
2;2011UAS-2HnD;9
3;AT-8000S;8
4;AT-8100S/48POE;8
5;AT-9000/28;8
6;AT-GS950/24;8
7;CCR1009-7G-1C-1S+;9
8;CCR1036-8G-2S+;9
10;CRS317-1G-16S+;9
11;CRS326-24S+2Q+;9
12;CRS328-24P-4S+;9
14;CRS328-4C-20S-4S+;9
15;DGS-3120-48TC;7
16;ES-2024;4
17;ES-2024A;4
18;ES-2108;4
19;ES-2108-G;4
20;ES-3124-4F;4
21;GS110TP;10
22;GS-4024;4
23;HP 1910;15
24;ISCOM2110A-MA;5
25;ISCOM2110EA-MA;5
26;ISCOM2126EA-MA;5
27;ISCOM2128EA-MA;5
28;Linux server;1
29;MES2124F;2
30;MES2124MB;2
31;MES5248;2
32;RB2011UAS;9
33;RB3011UiAS;9
34;RB960PGS;9
35;RBD52G-5HacD2HnD;9
36;S2940-8G-v2;6
37;S2980G-24T;6
38;S3750G-24S-E;6
39;S5300-52P-LI-AC;3
40;S5320-52X-PWR-SI-AC;3
41;S5321-28X-SI-AC;3
42;S5321-52X-SI-AC;3
43;S6320-54C-EI-48S-AC;3
44;SNR-S2980G-24T;6
45;V1910-16G;15
46;V1910-24G-PoE;15
47;Windows server;1
48;WS-C2960G-24TC-L;16
49;WS-C3560G-24TS-S;16
50;x210-16GT;8
51;x210-24GT;8
52;x610-24Ts/X;8
53;x610-48Ts;8
54;XGS-4728;4
55;ZyWall 310;4
56;APC Smart-UPS_3000;20
57;APC Smart-UPS_5000;20
58;Schneider Smart-UPS_3000;21
59;SMG-1016M;2
60;EATON 9PX 1500i RT 2U;64
61;EATON 9PX3000i_RT_2U;64
62;EATON 9PX_6000i;64
63;EATON PW9130_3000;64
64;EATON PW9130_3000VA-R;64
65;Epson WF-5620 Series;59
66;Epson WF-8590 Series;59
67;HP Officejet-7000;15
68;OKI C610;62
69;OKI MB472;62
70;OKI MB491;62
71;OKI MC562;62
72;OKI MC573;62
73;OKI MC861;62
74;Panasonic KX-MB2000RU;61
75;PT-MZ10KE;61
76;PT-VX41;61
77;Rave 522AA;33
78;DZ570E;61
79;DZ6700;61
80;Rcq80;61
81;RZ12K;61
82;RZ660;61
83;RZ770;61
84;RZ970;61
85;XVR-5216;66
86;HWg-STE;68
87;Computer;1
88;Mobile Phone;1
89;Switch;1
90;Projectiondesign F22;34
91;DS-I252;36
92;LTV-CNE-720-48;37
93;U-100;38
94;TAU-8;2
95;SIP-T21P E2;39
96;A510 IP;40
97;W60B;39
98;TAU-2M;2
99;PAP2T;41
100;VP-12;2
101;SIP-T23P;39
102;SPA-2102;16
103;RB760iGS;9
104;MES2324B;2
105;MES2324FB;2
106;MES2124P;2
107;MES2428P;2
108;Symmetra LX 16000;20
109;SNR-UPS-ONT20;6
